1,"槍","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Spear.png?rev=b819e85df7e5d706d08f98e86b38ac0e&t=20150618183539"
2,"木の棍棒","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Wooden_Club.png?rev=09242f2c62e1adb2e92316f85f85d053&t=20151003172533"
3,"長槍","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Pike.png?rev=a6df553fbebf9a3a3eda190e00255e14&t=20150618184344"
4,"剣","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Metal_Sword.png?rev=e2bf7248813aa9f2f585b3ba5206bc2d&t=20151111074742"
5,"スタンロッド","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Electric_Prod.png?rev=a076f2f5eb8489409803c69e11a72872&t=20160309023331"
6,"ランス","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/Lance.png?rev=5ba1b6fca9120de2dab476c9d2015a2b&t=20170320105052"
7,"パチンコ","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Slingshot.png?rev=f7282dbe54071762cd9786461b73dc32&t=20150618192844"
8,"ボーラ","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/Bola.png.webp?rev=6566d25a13dee1619a5efd292fada4c4&t=20170128083359"
9,"弓","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Bow.png?rev=8177f22b8902cd43386b476dca73d404&t=20150618192854"
10,"クロスボウ","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Crossbow.png?rev=938c104cf88075b651cc8c1def3cfcc3&t=20150725143843"
11,"コンパウンドボウ","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Compound_Bow.png?rev=f0cbf7b7d4f82674f9462ad7e42011f8&t=20150809223628"
12,"石の矢","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Stone_Arrow.png?rev=77ec2b5a6dc416672e15351b55a7c59e&t=20150618193621"
13,"麻酔矢","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Tranquilizer_Arrow.png?rev=31a764159f1327d059b175a4c4bc883d&t=20150618193632"
14,"銛","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Ballista_Bolt.png?rev=72f83f31c66a44f1f3406fe81564a266&t=20150928114317"
15,"グラップリングフック","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Grappling_Hook.png?rev=b047b9688f11dc454ad7ae3e631b931b&t=20160331090316"
16,"麻酔銛","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/128px-Tranq_Spear_Bolt.png?rev=d58496c139488331ebe13c9a1ee7ed46&t=20171204133827"
17,"金属の矢","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Metal_Arrow.png?rev=e429dc4222b918cf35ea749bfbf8bb14&t=20150904221238"
18,"ピストル","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Simple_Pistol.png?rev=af084a99fe4743f39046089d275f53d6&t=20150618202249"
19,"ライフル","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Longneck_Rifle.png?rev=a131d9f597f2256f18064d761a3192ac&t=20150618202259"
20,"ショットガン","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Shotgun.png?rev=9a9db0ab24cee4d3a24d0c29155a5cb8&t=20150618202313"
21,"ハープーンランチャー","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/128px-Harpoon_Launcher.png?rev=c12a67ed4991062fc34b5fe643c2109c&t=20171204133818"
22,"セミオート式ピストル","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Fabricated_Pistol.png?rev=c42c076e63e61e13e9ea6ee2a43d0363&t=20150618204859"
23,"ポンプアクション式ショットガン","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Pump-Action_Shotgun.png?rev=7cab45fe5ef72aaaff8cfa1204cbda15&t=20150921235827"
24,"アサルトライフル","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Assault_Rifle.png?rev=32d6525ee9fad90cde527be89389fd11&t=20150618204907"
25,"ロケットランチャー","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Rocket_Launcher.png?rev=62aba0e8138ab01e6fb3979cb824aa5a&t=20150618204930"
26,"セミオート式スナイパーライフル","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Fabricated_Sniper_Rifle.png?rev=d2d37fd4468d7e1548a71cd1dc25cc5d&t=20151008062613"
27,"スパイク付きの岩","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Boulder.png?rev=11141fe8d7130fa87059178bed1d1f28&t=20160309045319"
28,"シンプルな弾丸","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/35px-Simple_Bullet.png?rev=8f78d8d1c571465a2a2e543ebadf0575&t=20150618212132"
29,"砲弾","武器","マップ共通","https://cdn.wikiwiki.jp/to/w/arkse/%E6%AD%A6%E5%99%A8/::ref/Cannon_Ball%5B1%5D_0.png.webp?rev=a1bf63625e21cb6eab88d138e09c1eed&t=20171122214158"
